kotowaza,yomigana,romaji
猿も木から落ちる,さるもきからおちる,sarumokikaraochiru
かわいい子には旅をさせよ,かわいいこにはたびをさせよ,kawaiikonihatabiwosaseyo
三日坊主,みっかぼうず,mikkabouzu
塵も積もれば山となる,ちりもつもればやまとなる,chirimotsumorebayamatonaru
切磋琢磨,せっさたくま,sessatakuma
猫に小判,ねこにこばん,nekonikoban
覆水盆に返らず,ふくすいぼんにかえらず,fukusuibonnikaerazu
能ある鷹は爪を隠す,のうあるたかはつめをかくす,nouarutakahatsumewokakusu
類は友を呼ぶ,るいはともをよぶ,ruihatomowoyobu
知らぬが仏,しらぬがほとけ,shiranugahotoke
棚から牡丹餅,たなからぼたもち,tanakarabotamochi
笑う門には福来る,わらうかどにはふくきたる,waraukadonihafukukitaru
蒔かぬ種は生えぬ,まかぬたねははえぬ,makanutanehahaenu
災い転じて福となす,わざわいてんじてふくとなす,wazawaitenjitefukutonasu
どんぐりの背比べ,どんぐりのせいくらべ,dongurinoseikurabe
聞くは一時の恥聞かぬは一生の恥,きくはいちじのはじきかぬはいっしょうのはじ,kikuhaichijinohajikikanuhaisshounohaji
楽は苦の苦は楽の種,らくはくのたねくはらくのたね,rakuhakunotanekuharakunotane
横槍を入れる,よこやりをいれる,yokoyariwoireru
焼け石に水,やけいしにみず,yakeishinimizu
薮から棒,やぶからぼう,yabukarabou
急がばまわれ,いそがばまわれ,isogabamaware
初心忘るべからず,しょしんわするべからず,shoshinwasurubekarazu
井の中の蛙大海を知らず,いのなかのかわずたいかいをしらず,inonakanokawazutaikaiwoshirazu
馬の耳に念仏,うまのみみにねんぶつ,umanomimininenbutsu
千里の道も一歩から,せんりのみちもいっぽから,senrinomichimoippokara
犬も歩けは棒にあたる,いぬもあるけばぼうにあたる,inumoarukebabouniataru
好きこそ物の上手なれ,すきこそもののじょうずなれ,sukikosomononojouzunare
親しき仲にも礼儀あり,したしきなかにもれいぎあり,shitashikinakanimoreigiari
一銭を笑う者は一銭に泣く,いっせんをわらうものはいっせんになく,issenwowaraumonohaissenninaku
とらぬたぬきの皮算用,とらぬたぬきのかわざんよう,toranutanukinokawazanyou
三つ子の魂百まで,みつごのたましいひゃくまで,mitsugonotamashiihyakumade
二兎を追う者は一兎をも得ず,にとをおうものはいっとをもえず,nitowooumonohaittowomoezu
出る杭は打たれる,でるくいはうたれる,derukuihautareru
悪銭身につかず,あくせんみにつかず,akusenminitsukazu
かっぱの川流れ,かっぱのかわながれ,kappanokawanagare
石橋をたたいて渡る,いしばしをたたいてわたる,ishibashiwotataitewataru
善は急げ,ぜんはいそげ,zenhaisoge
急いては事をしそんじる,せいてはことをしそんじる,seitehakotowoshisonjiru
三人寄ればもんじゅの知恵,さんにんよればもんじゅのちえ,sanninyorebamonjunochie
大は小をかねる,だいはしょうをかねる,daihashouwokaneru
馬子にも衣装,まごにもいしょう,magonimoishou
たで食う虫も好き好き,たでくうむしもすきずき,tadekuumushimosukizuki
腹が減っては戦ができぬ,はらがへってはいくさができぬ,haragahettehaikusagadekinu
鉄は熱いうちに打て,てつはあついうちにうて,tetsuhaatsuiuchiniute
朱に交われば赤くなる,しゅにまじわればあかくなる,shunimajiwarebaakakunaru
縁の下の力持ち,えんのしたのちからもち,ennoshitanochikaramochi
身から出たさび,みからでたさび,mikaradetasabi
水と油,みずとあぶら,mizutoabura
嘘つきは泥棒の始まり,うそつきはどろぼうのはじまり,usotsukihadorobounohajimari
案ずるより産むがやすし,あんずるよりうむがやすし,anzuruyoriumugayasushi
後は野となれ山となれ,あとはのとなれやまとなれ,atohanotonareyamatonare
踏んだり蹴ったり,ふんだりけったり,funndarikettari
思い立ったが吉日,おもいたったがきちじつ,omoitattagakichijitsu
虫のいどころが悪い,むしのいどころがわるい,mushinoidokorogawarui
石の上にも三年,いしのうえにもさんねん,ishinouenimosannen
早起きは三文の徳,はやおきはさんもんのとく,hayaokihasanmonnotoku
背に腹はかえられぬ,せにはらはかえられぬ,seniharahakaerarenu
雨ふって地固まる,あめふってじかたまる,amefuttejikatamaru
医者の不養生,いしゃのふようじょう,ishanofuyoujou
きじも鳴かずばうたれまい,きじもなかずばうたれまい,kijimonakazubautaremai
海老で鯛を釣る,えびでたいをつる,ebidetaiwotsuru
親の七光り,おやのななひかり,oyanonanahikari
光陰矢のごとし,こういんやのごとし,kouinyanogotoshi
一寸先は闇,いっすんさきはやみ,issunsakihayami
